car,owner,cpf_cnpj,muni,uf,region,ha,status,risk
RS-4310256-8CF8C80A8F43DD918597E520861F842C,Cooperativa Agrícola Pinheiral Sociedade Rural Ltda,07.412.094/8181-39,Ijuí,RS,south,575.13,watch,31
RS-4301602-6CC9660573A27A846E722ED84010161A,Vanessa B. Vasconcelos,158.377.674-99,Bagé,RS,south,1081.42,ok,2
RS-4316907-DA7F90FAF5BBF930A501F662FD1D2C4C,Agropecuária Esperança Agro S.A.,15.041.659/1520-17,Santa Maria,RS,south,829.14,ok,13
PI-2211100-D8A10592D952EBB4629FDAA460CC0EA9,Cooperativa Agrícola Vale Verde Sociedade Rural Ltda,90.233.030/7053-45,Uruçuí,PI,northeast,211.24,watch,39
MA-2112209-4EB1C6CE03109B0B633D084DB59A542A,Cooperativa Agrícola Campo Belo S.A.,30.047.868/6337-52,Tasso Fragoso,MA,northeast,236.26,ok,18
BA-2909307-5164EDA94AF93078BC6D39B37663897D,Mariana S. Mendonça,958.887.947-05,Correntina,BA,northeast,6381.76,ok,17
MT-5106257-B4DE8124450A620DC3BA8687895A181D,Cooperativa Agrícola Nascente S.A.,40.778.487/3928-55,Nova Ubiratã,MT,midwest,534.22,ok,15
BA-2929206-D91A03806EDC41754CB35FFCB8C2E08A,Fazenda Esperança Ltda,75.622.086/3536-54,São Desidério,BA,northeast,618.23,ok,24
PR-4115200-4AD926B183C726616231A68CD9AFBFB6,Granja Santa Maria Ltda,17.490.753/9989-35,Maringá,PR,south,343.01,ok,14
BA-2911105-C5E8A1CA5A0FA6CF604889976C985016,Felipe F. Albuquerque,179.796.886-80,Formosa do Rio Preto,BA,northeast,9973.18,breach,73
ES-3204906-C1A58C59567DCD840F63B1D151C73CA4,Letícia F. Tanaka,079.056.965-91,São Mateus,ES,southeast,4881.01,ok,6
TO-1718204-CE692EDFCE0B5ECDC4C1DD3D74C3035D,Renata E. Araújo,620.450.533-15,Porto Nacional,TO,north,12745.12,watch,42
BA-2929206-701EE90E5F9CB6123D6E5C2FB8F06D5C,Marcelo Barbosa,176.591.803-39,São Desidério,BA,northeast,14743.95,watch,30
SC-4204509-62B7F8EA73027271E77F871B2534DBD9,Cooperativa Agrícola Vale Verde Agropecuária Ltda,15.027.456/4494-85,Concórdia,SC,south,1003.55,breach,64
MT-5105309-3F8B0E47B0A54FF4046FFFF3562B8ADA,Sítio Trindade Agropecuária Ltda,10.463.681/5798-12,Lucas do Rio Verde,MT,midwest,1688.51,ok,9
MS-5003702-C76A7826C8F2AECB5F881098F4BE56A8,Marcelo P. Pereira,901.581.449-14,Dourados,MS,midwest,194.81,watch,36
MS-5007703-868B57F00402E0F35CFDE8991724E344,Patrícia L. Soares,558.556.659-39,Sidrolândia,MS,midwest,1681.22,ok,2
PE-2601201-0C336AF19E1F3AC1DC1F0E6B7665E472,Fazenda Trindade Agropecuária Ltda,42.067.883/1712-10,Araripina,PE,northeast,1772.26,watch,45
SC-4214805-9E5A7025BABBB41053EFFF9B049465F8,Agrícola Horizonte S.A.,63.934.362/6204-43,Rio do Sul,SC,south,1094.55,ok,10
PI-2201705-C7D4BCE8F8233AED1B34A9D3CB87D5F0,Luciana H. Fonseca,056.856.624-62,Bom Jesus,PI,northeast,24355.32,ok,24
RS-4306205-D651D6679BF068BEED300984AE19A762,João A. Barbosa,277.707.933-49,Cruz Alta,RS,south,5080.82,ok,16
MS-5002951-5298A729BF00A1DCF658A034C4850A5B,Estância Boa Sorte Ltda,19.817.946/9548-99,Chapadão do Sul,MS,midwest,655.32,ok,10
PI-2203206-1987051DB731C1546DDAA199253BE973,Sítio Boa Vista Agropecuária Ltda,41.520.643/6110-37,Currais,PI,northeast,3270.07,ok,23
MS-5007208-A35A6D8F0A2DDD173F03A637C7D717A1,Cooperativa Agrícola Sol Nascente Ltda,14.508.993/5889-16,São Gabriel do Oeste,MS,midwest,1658.55,ok,2
SP-3551009-E60FB866CB171CB6353F0A2799F72B2D,Renata G. Tanaka,063.356.939-29,Sertãozinho,SP,southeast,1937.41,ok,20
PR-4119905-548145402C6E442B081074756DD22ACA,Eduardo A. Costa,770.285.196-11,Ponta Grossa,PR,south,458.49,ok,19
MT-5107040-08595B2AFFC916C257B8466BC73698F8,Agropecuária Boa Sorte Agropecuária Ltda,09.610.556/6139-06,Primavera do Leste,MT,midwest,218.45,ok,21
MT-5108402-0E38F2F801ACD618BFCAFB27510C8934,Júlia F. Nascimento,648.408.588-77,Sorriso,MT,midwest,1797.41,ok,0
PA-1505486-EA479B14B228F8ED4D7CB51F2FDBFFC5,Cooperativa Agrícola Três Marias Ltda,90.974.395/3394-21,Novo Progresso,PA,north,2576.55,ok,14
RS-4301602-CAB3DAC3FF07B90FA14823BA929B2EDE,Fernando S. Vasconcelos,620.175.370-30,Bagé,RS,south,4008.8,watch,30
SP-3549904-A461B7E7300F36CA7FCF055B63A8FD8B,Granja Pinheiral Agropecuária Ltda,60.158.517/4328-06,São José do Rio Preto,SP,southeast,117.46,watch,45
PI-2201705-6B7669251782D89C28DD842E3F8413F4,Estância Itamaraty S.A.,37.058.957/8291-14,Bom Jesus,PI,northeast,1767.41,ok,20
