car,owner,cpf_cnpj,muni,uf,region,ha,status,risk
19-01-0008-379-923,Patricia Cáceres,909862-4,Loma Plata,19,chaco,700.94,watch,56
15-02-0007-661-373,Silvio Benítez,127722-0,Benjamín Aceval,15,chaco,306.03,ok,25
09-01-0090-227-157,Jorge Benítez,8058925-8,Paraguarí,9,central,460.42,ok,14
02-05-0047-628-883,Sociedad Rural Estancia Salto SA,5003691-5,Choré,2,oriente,365.25,ok,15
10-14-0098-247-922,Cynthia Espinoza,4544432-8,Santa Rita,10,oriente,525.8,watch,42
07-08-0047-828-324,Agropecuaria Mboi Cua S.R.L.,7594929-9,Hohenau,7,oriente,10866.87,ok,25
19-01-0075-334-430,Estancia Estancia Tacuara SRL,781137-9,Loma Plata,19,chaco,431.96,ok,24
10-14-0005-565-267,Luis Espinoza,809969-3,Santa Rita,10,oriente,2497.58,ok,24
10-14-0079-290-331,Mirta Loewen,863878-2,Santa Rita,10,oriente,1211.85,ok,21
10-11-0001-524-679,Estela Villalba,3748969-1,Naranjal,10,oriente,22269.43,ok,19
15-03-0028-951-625,Granja Mboi Cua S.A.,179706-2,Pozo Colorado,15,chaco,1335.93,ok,23
14-13-0077-485-734,Lorena Wiens,5503758-9,Katueté,14,oriente,1960.24,ok,24
10-07-0037-744-850,Campos Bella Unión S.R.L.,6938011-8,Hernandarias,10,oriente,1707.57,ok,26
14-07-0016-943-081,Mirta Klassen,3333952-1,La Paloma,14,oriente,1860.51,watch,54
10-14-0019-055-687,Edgar Britez,8460810-6,Santa Rita,10,oriente,218.83,watch,39
04-02-0001-122-025,Cabaña San Isidro Agropecuaria S.A.,8772934-3,Borja,4,central,2113.79,watch,36
19-03-0060-286-015,Gustavo Britez,168739-7,Mariscal Estigarribia,19,chaco,6548.98,ok,10
19-02-0080-574-527,Establecimiento Filadelfia Norte S.R.L.,7142241-0,Filadelfia,19,chaco,362.11,ok,8
16-01-0007-658-271,Adriana Aquino,6637239-5,Fuerte Olimpo,16,chaco,3137.97,ok,12
05-02-0033-006-339,Marta Riveros,648422-9,Caaguazú,5,oriente,2381.24,ok,10
14-01-0029-769-591,Estela Frutos,7947284-6,Salto del Guairá,14,oriente,353.38,ok,17
07-08-0095-119-098,Norma Friesen,0120455-6,Hohenau,7,oriente,7396.61,ok,4
15-03-0074-458-201,Edgar Talavera,227846-9,Pozo Colorado,15,chaco,536.26,ok,25
15-01-0025-026-738,Norma Riveros,571732-0,Villa Hayes,15,chaco,12054.25,ok,25
10-01-0079-201-193,Campos Caaguazú Verde S.R.L.,027261-4,Ciudad del Este,10,oriente,523.14,ok,26
10-11-0086-895-347,Granja Estancia Salto SA,450899-3,Naranjal,10,oriente,1907.66,watch,43
19-02-0067-081-536,Edgar Insfrán,1971284-7,Filadelfia,19,chaco,2986.45,ok,23
07-03-0090-502-195,Carlos Riveros,2407784-8,Bella Vista,7,oriente,1632.88,ok,14
13-01-0079-030-884,Estancia Estancia Tacuara SA,9797296-5,Pedro Juan Caballero,13,oriente,2193.22,breach,72
10-06-0053-267-160,Edgar Fernández,5783174-5,Iruña,10,oriente,600.18,watch,57
07-03-0039-257-576,Sociedad Rural San Rafael SA,672885-7,Bella Vista,7,oriente,2762.4,ok,5
09-14-0098-993-016,Hacienda San Joaquín SRL,7722330-6,Quiindy,9,central,24153.37,ok,21
05-02-0090-605-263,Estancia Mboi Cua SA,3109678-9,Caaguazú,5,oriente,194.78,watch,30
03-13-0078-306-340,Cooperativa Agrícola Mboi Cua SA,205020-9,San Bernardino,3,central,8833.53,ok,5
14-01-0058-424-172,Establecimiento Loma Plata Sur S.R.L.,4964759-8,Salto del Guairá,14,oriente,92.01,watch,51
05-15-0022-225-851,Óscar Riveros,413797-7,Yhú,5,oriente,871.15,ok,24
02-08-0073-375-627,Walter Fernández,1269448-6,Lima,2,oriente,433.91,watch,43
07-01-0014-510-204,Silvio Frutos,618914-1,Encarnación,7,oriente,2078.12,watch,36
10-07-0050-244-524,Norma Wiens,571983-8,Hernandarias,10,oriente,6893.52,ok,21
10-11-0047-398-481,Ramón Klassen,3145303-8,Naranjal,10,oriente,7348.54,ok,20
11-01-0067-784-646,Aldo Villalba,388608-6,Areguá,11,central,11227.46,ok,28
10-14-0006-699-907,Establecimiento Caaguazú Verde S.A.,157399-3,Santa Rita,10,oriente,2340.27,breach,88
07-03-0020-973-093,Estancia San Rafael SRL,5300119-7,Bella Vista,7,oriente,2912.77,watch,58
10-08-0082-828-951,Campos San Joaquín S.R.L.,7169472-2,Minga Guazú,10,oriente,1799.42,ok,27
07-04-0034-228-380,Ramón Ovelar,0127961-1,Capitán Miranda,7,oriente,99.63,ok,12
14-01-0036-599-123,Campos Mboi Cua S.R.L.,313650-2,Salto del Guairá,14,oriente,1061.87,breach,94
05-12-0097-527-144,Campos San Isidro S.A.,658039-2,Repatriación,5,oriente,940.38,breach,73
19-03-0060-677-959,Marta Espinoza,692124-4,Mariscal Estigarribia,19,chaco,315.79,breach,91
10-11-0096-670-019,Establecimiento Don Carlos S.A.,9717751-7,Naranjal,10,oriente,294.42,ok,0
10-08-0066-529-716,Estancia Estancia Tacuara Soc. Rural Ltda,7038430-9,Minga Guazú,10,oriente,168.13,ok,7
07-02-0074-607-165,Cynthia Insfrán,3926030-2,Carlos Antonio López,7,oriente,346.57,breach,73
19-02-0010-586-746,Marta Aquino,3917410-1,Filadelfia,19,chaco,311.86,breach,73
10-11-0035-423-193,Mirta Friesen,638944-8,Naranjal,10,oriente,3503.24,ok,20
15-03-0057-250-948,Walter Espinoza,426258-2,Pozo Colorado,15,chaco,853.4,watch,50
19-02-0028-679-178,Carlos Klassen,9656666-8,Filadelfia,19,chaco,957.63,ok,11
07-04-0065-302-349,Aldo Riveros,426818-1,Capitán Miranda,7,oriente,21650.02,breach,80
19-02-0016-543-098,Cynthia Frutos,456083-3,Filadelfia,19,chaco,2239.19,breach,96
14-13-0006-718-869,Hacienda Bella Unión S.A.,0618091-9,Katueté,14,oriente,562.58,ok,25
